Hour data: {'time_epoch': 1734044400, 'time': '2024-12-13 00:00', 'temp_c': 3.6, 'temp_f': 38.4, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 5.4, 'wind_kph': 8.6, 'wind_degree': 81, 'wind_dir': 'E', 'pressure_mb': 1030.0, 'pressure_in': 30.41, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 87, 'cloud': 33, 'feelslike_c': 1.3, 'feelslike_f': 34.3, 'windchill_c': 1.3, 'windchill_f': 34.3, 'heatindex_c': 3.6, 'heatindex_f': 38.4, 'dewpoint_c': 1.6, 'dewpoint_f': 35.0, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 8.4, 'gust_kph': 13.5, 'uv': 0}
Hour data: {'time_epoch': 1734048000, 'time': '2024-12-13 01:00', 'temp_c': 3.2, 'temp_f': 37.8, 'is_day': 0, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}, 'wind_mph': 5.4, 'wind_kph': 8.6, 'wind_degree': 85, 'wind_dir': 'E', 'pressure_mb': 1030.0, 'pressure_in': 30.42, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': 0.4, 'feelslike_f': 32.7, 'windchill_c': 0.4, 'windchill_f': 32.7, 'heatindex_c': 2.8, 'heatindex_f': 37.1, 'dewpoint_c': 1.4, 'dewpoint_f': 34.5, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 4.1, 'vis_miles': 2.0, 'gust_mph': 9.1, 'gust_kph': 14.7, 'uv': 0}
Hour data: {'time_epoch': 1734051600, 'time': '2024-12-13 02:00', 'temp_c': 2.3, 'temp_f': 36.1, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 5.6, 'wind_kph': 9.0, 'wind_degree': 87, 'wind_dir': 'E', 'pressure_mb': 1029.0, 'pressure_in': 30.38, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 91, 'cloud': 13, 'feelslike_c': -0.4, 'feelslike_f': 31.4, 'windchill_c': -0.4, 'windchill_f': 31.4, 'heatindex_c': 2.3, 'heatindex_f': 36.1, 'dewpoint_c': 1.0, 'dewpoint_f': 33.7, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 9.9, 'gust_kph': 15.9, 'uv': 0}
Hour data: {'time_epoch': 1734055200, 'time': '2024-12-13 03:00', 'temp_c': 1.8, 'temp_f': 35.3, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 5.4, 'wind_kph': 8.6, 'wind_degree': 89, 'wind_dir': 'E', 'pressure_mb': 1029.0, 'pressure_in': 30.38, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 90, 'cloud': 6, 'feelslike_c': -0.8, 'feelslike_f': 30.6, 'windchill_c': -0.8, 'windchill_f': 30.6, 'heatindex_c': 1.8, 'heatindex_f': 35.3, 'dewpoint_c': 0.4, 'dewpoint_f': 32.7, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 9.7, 'gust_kph': 15.6, 'uv': 0}
Hour data: {'time_epoch': 1734058800, 'time': '2024-12-13 04:00', 'temp_c': 1.5, 'temp_f': 34.7, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 5.6, 'wind_kph': 9.0, 'wind_degree': 91, 'wind_dir': 'E', 'pressure_mb': 1029.0, 'pressure_in': 30.37, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 88, 'cloud': 8, 'feelslike_c': -1.3, 'feelslike_f': 29.7, 'windchill_c': -1.3, 'windchill_f': 29.7, 'heatindex_c': 1.5, 'heatindex_f': 34.7, 'dewpoint_c': -0.2, 'dewpoint_f': 31.6, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 10.3, 'gust_kph': 16.6, 'uv': 0}
Hour data: {'time_epoch': 1734062400, 'time': '2024-12-13 05:00', 'temp_c': 1.2, 'temp_f': 34.2, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 5.8, 'wind_kph': 9.4, 'wind_degree': 93, 'wind_dir': 'E', 'pressure_mb': 1028.0, 'pressure_in': 30.36, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 86, 'cloud': 8, 'feelslike_c': -1.7, 'feelslike_f': 29.0, 'windchill_c': -1.7, 'windchill_f': 29.0, 'heatindex_c': 1.2, 'heatindex_f': 34.2, 'dewpoint_c': -0.9, 'dewpoint_f': 30.3, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 10.9, 'gust_kph': 17.6, 'uv': 0}
Hour data: {'time_epoch': 1734066000, 'time': '2024-12-13 06:00', 'temp_c': 1.0, 'temp_f': 33.8, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 5.8, 'wind_kph': 9.4, 'wind_degree': 94, 'wind_dir': 'E', 'pressure_mb': 1028.0, 'pressure_in': 30.36, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 82, 'cloud': 8, 'feelslike_c': -2.0, 'feelslike_f': 28.5, 'windchill_c': -2.0, 'windchill_f': 28.5, 'heatindex_c': 1.0, 'heatindex_f': 33.8, 'dewpoint_c': -1.8, 'dewpoint_f': 28.8, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 11.1, 'gust_kph': 17.8, 'uv': 0}
Hour data: {'time_epoch': 1734069600, 'time': '2024-12-13 07:00', 'temp_c': 0.8, 'temp_f': 33.4, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 5.8, 'wind_kph': 9.4, 'wind_degree': 96, 'wind_dir': 'E', 'pressure_mb': 1028.0, 'pressure_in': 30.35, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 78, 'cloud': 9, 'feelslike_c': -2.2, 'feelslike_f': 28.0, 'windchill_c': -2.2, 'windchill_f': 28.0, 'heatindex_c': 0.8, 'heatindex_f': 33.4, 'dewpoint_c': -2.6, 'dewpoint_f': 27.4, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 11.2, 'gust_kph': 18.1, 'uv': 0}
Hour data: {'time_epoch': 1734073200, 'time': '2024-12-13 08:00', 'temp_c': 0.6, 'temp_f': 33.1, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 5.6, 'wind_kph': 9.0, 'wind_degree': 101, 'wind_dir': 'ESE', 'pressure_mb': 1028.0, 'pressure_in': 30.34, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 76, 'cloud': 8, 'feelslike_c': -2.3, 'feelslike_f': 27.9, 'windchill_c': -2.3, 'windchill_f': 27.9, 'heatindex_c': 0.6, 'heatindex_f': 33.1, 'dewpoint_c': -3.1, 'dewpoint_f': 26.4, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 10.8, 'gust_kph': 17.5, 'uv': 0}
Hour data: {'time_epoch': 1734076800, 'time': '2024-12-13 09:00', 'temp_c': 0.7, 'temp_f': 33.2, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 5.4, 'wind_kph': 8.6, 'wind_degree': 113, 'wind_dir': 'ESE', 'pressure_mb': 1028.0, 'pressure_in': 30.35, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 74, 'cloud': 6, 'feelslike_c': -2.1, 'feelslike_f': 28.2, 'windchill_c': -2.1, 'windchill_f': 28.2, 'heatindex_c': 0.7, 'heatindex_f': 33.2, 'dewpoint_c': -3.5, 'dewpoint_f': 25.8, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 10.4, 'gust_kph': 16.7, 'uv': 0.0}
Hour data: {'time_epoch': 1734080400, 'time': '2024-12-13 10:00', 'temp_c': 1.6, 'temp_f': 34.9, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 4.3, 'wind_kph': 6.8, 'wind_degree': 119, 'wind_dir': 'ESE', 'pressure_mb': 1027.0, 'pressure_in': 30.34, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 70, 'cloud': 4, 'feelslike_c': -0.5, 'feelslike_f': 31.2, 'windchill_c': -0.5, 'windchill_f': 31.2, 'heatindex_c': 1.6, 'heatindex_f': 34.9, 'dewpoint_c': -3.3, 'dewpoint_f': 26.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 7.4, 'gust_kph': 12.0, 'uv': 0.2}
