Hour data: {'time_epoch': 1736895600, 'time': '2025-01-15 00:00', 'temp_c': 2.7, 'temp_f': 36.9, 'is_day': 0, 'condition': {'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}, 'wind_mph': 5.6, 'wind_kph': 9.0, 'wind_degree': 248, 'wind_dir': 'WSW', 'pressure_mb': 1033.0, 'pressure_in': 30.51, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 97, 'cloud': 100, 'feelslike_c': 0.2, 'feelslike_f': 32.3, 'windchill_c': 0.2, 'windchill_f': 32.3, 'heatindex_c': 2.7, 'heatindex_f': 36.9, 'dewpoint_c': 2.3, 'dewpoint_f': 36.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 0.0, 'vis_miles': 0.0, 'gust_mph': 11.6, 'gust_kph': 18.6, 'uv': 0}
Hour data: {'time_epoch': 1736899200, 'time': '2025-01-15 01:00', 'temp_c': 3.1, 'temp_f': 37.5, 'is_day': 0, 'condition': {'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}, 'wind_mph': 5.8, 'wind_kph': 9.4, 'wind_degree': 259, 'wind_dir': 'W', 'pressure_mb': 1033.0, 'pressure_in': 30.49, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 98, 'cloud': 100, 'feelslike_c': 0.5, 'feelslike_f': 32.9, 'windchill_c': 0.5, 'windchill_f': 32.9, 'heatindex_c': 3.1, 'heatindex_f': 37.5, 'dewpoint_c': 2.8, 'dewpoint_f': 37.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 0.0, 'vis_miles': 0.0, 'gust_mph': 11.9, 'gust_kph': 19.2, 'uv': 0}
Hour data: {'time_epoch': 1736902800, 'time': '2025-01-15 02:00', 'temp_c': 3.2, 'temp_f': 37.8, 'is_day': 0, 'condition': {'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}, 'wind_mph': 5.1, 'wind_kph': 8.3, 'wind_degree': 269, 'wind_dir': 'W', 'pressure_mb': 1032.0, 'pressure_in': 30.49, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 99, 'cloud': 100, 'feelslike_c': 1.0, 'feelslike_f': 33.8, 'windchill_c': 1.0, 'windchill_f': 33.8, 'heatindex_c': 3.3, 'heatindex_f': 37.9, 'dewpoint_c': 3.0, 'dewpoint_f': 37.5, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 0.0, 'vis_miles': 0.0, 'gust_mph': 10.6, 'gust_kph': 17.1, 'uv': 0}
Hour data: {'time_epoch': 1736906400, 'time': '2025-01-15 03:00', 'temp_c': 3.5, 'temp_f': 38.2, 'is_day': 0, 'condition': {'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}, 'wind_mph': 4.9, 'wind_kph': 7.9, 'wind_degree': 269, 'wind_dir': 'W', 'pressure_mb': 1032.0, 'pressure_in': 30.48, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 99, 'cloud': 100, 'feelslike_c': 1.4, 'feelslike_f': 34.4, 'windchill_c': 1.4, 'windchill_f': 34.4, 'heatindex_c': 3.5, 'heatindex_f': 38.2, 'dewpoint_c': 3.3, 'dewpoint_f': 37.9, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 0.0, 'vis_miles': 0.0, 'gust_mph': 10.0, 'gust_kph': 16.1, 'uv': 0}
Hour data: {'time_epoch': 1736910000, 'time': '2025-01-15 04:00', 'temp_c': 3.8, 'temp_f': 38.8, 'is_day': 0, 'condition': {'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}, 'wind_mph': 4.5, 'wind_kph': 7.2, 'wind_degree': 282, 'wind_dir': 'WNW', 'pressure_mb': 1032.0, 'pressure_in': 30.48, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 99, 'cloud': 100, 'feelslike_c': 1.9, 'feelslike_f': 35.4, 'windchill_c': 1.9, 'windchill_f': 35.4, 'heatindex_c': 3.8, 'heatindex_f': 38.8, 'dewpoint_c': 3.7, 'dewpoint_f': 38.6, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 0.0, 'vis_miles': 0.0, 'gust_mph': 8.9, 'gust_kph': 14.3, 'uv': 0}
Hour data: {'time_epoch': 1736913600, 'time': '2025-01-15 05:00', 'temp_c': 3.8, 'temp_f': 38.9, 'is_day': 0, 'condition': {'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}, 'wind_mph': 4.5, 'wind_kph': 7.2, 'wind_degree': 298, 'wind_dir': 'WNW', 'pressure_mb': 1032.0, 'pressure_in': 30.48, 'precip_mm': 0.02, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 99, 'cloud': 100, 'feelslike_c': 2.0, 'feelslike_f': 35.6, 'windchill_c': 2.0, 'windchill_f': 35.6, 'heatindex_c': 3.8, 'heatindex_f': 38.9, 'dewpoint_c': 3.8, 'dewpoint_f': 38.8, 'will_it_rain': 1, 'chance_of_rain': 89, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 0.0, 'vis_miles': 0.0, 'gust_mph': 8.7, 'gust_kph': 14.1, 'uv': 0}
Hour data: {'time_epoch': 1736917200, 'time': '2025-01-15 06:00', 'temp_c': 3.9, 'temp_f': 39.1, 'is_day': 0, 'condition': {'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}, 'wind_mph': 4.0, 'wind_kph': 6.5, 'wind_degree': 307, 'wind_dir': 'NW', 'pressure_mb': 1032.0, 'pressure_in': 30.49, 'precip_mm': 0.05, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 99, 'cloud': 100, 'feelslike_c': 2.3, 'feelslike_f': 36.2, 'windchill_c': 2.3, 'windchill_f': 36.2, 'heatindex_c': 3.9, 'heatindex_f': 39.1, 'dewpoint_c': 3.8, 'dewpoint_f': 38.8, 'will_it_rain': 1, 'chance_of_rain': 73, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 0.0, 'vis_miles': 0.0, 'gust_mph': 7.9, 'gust_kph': 12.8, 'uv': 0}
Hour data: {'time_epoch': 1736920800, 'time': '2025-01-15 07:00', 'temp_c': 4.0, 'temp_f': 39.2, 'is_day': 0, 'condition': {'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}, 'wind_mph': 3.4, 'wind_kph': 5.4, 'wind_degree': 311, 'wind_dir': 'NW', 'pressure_mb': 1032.0, 'pressure_in': 30.49, 'precip_mm': 0.04, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 98, 'cloud': 100, 'feelslike_c': 2.8, 'feelslike_f': 37.0, 'windchill_c': 2.8, 'windchill_f': 37.0, 'heatindex_c': 4.0, 'heatindex_f': 39.2, 'dewpoint_c': 3.8, 'dewpoint_f': 38.8, 'will_it_rain': 0, 'chance_of_rain': 62, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 0.0, 'vis_miles': 0.0, 'gust_mph': 6.7, 'gust_kph': 10.7, 'uv': 0}
Hour data: {'time_epoch': 1736924400, 'time': '2025-01-15 08:00', 'temp_c': 4.0, 'temp_f': 39.3, 'is_day': 0, 'condition': {'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}, 'wind_mph': 2.9, 'wind_kph': 4.7, 'wind_degree': 317, 'wind_dir': 'NW', 'pressure_mb': 1033.0, 'pressure_in': 30.5, 'precip_mm': 0.01, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 98, 'cloud': 100, 'feelslike_c': 3.1, 'feelslike_f': 37.6, 'windchill_c': 3.1, 'windchill_f': 37.6, 'heatindex_c': 4.0, 'heatindex_f': 39.3, 'dewpoint_c': 3.8, 'dewpoint_f': 38.8, 'will_it_rain': 1, 'chance_of_rain': 72, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 0.0, 'vis_miles': 0.0, 'gust_mph': 5.8, 'gust_kph': 9.3, 'uv': 0}
Hour data: {'time_epoch': 1736928000, 'time': '2025-01-15 09:00', 'temp_c': 4.0, 'temp_f': 39.3, 'is_day': 1, 'condition': {'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/day/248.png', 'code': 1135}, 'wind_mph': 1.8, 'wind_kph': 2.9, 'wind_degree': 305, 'wind_dir': 'NW', 'pressure_mb': 1033.0, 'pressure_in': 30.51, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 98, 'cloud': 100, 'feelslike_c': 4.0, 'feelslike_f': 39.3, 'windchill_c': 4.0, 'windchill_f': 39.3, 'heatindex_c': 4.0, 'heatindex_f': 39.3, 'dewpoint_c': 3.7, 'dewpoint_f': 38.7, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 0.0, 'vis_miles': 0.0, 'gust_mph': 3.5, 'gust_kph': 5.7, 'uv': 0.0}
Hour data: {'time_epoch': 1736931600, 'time': '2025-01-15 10:00', 'temp_c': 4.4, 'temp_f': 39.9, 'is_day': 1, 'condition': {'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/day/248.png', 'code': 1135}, 'wind_mph': 2.2, 'wind_kph': 3.6, 'wind_degree': 339, 'wind_dir': 'NNW', 'pressure_mb': 1034.0, 'pressure_in': 30.53, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 97, 'cloud': 100, 'feelslike_c': 4.0, 'feelslike_f': 39.3, 'windchill_c': 4.0, 'windchill_f': 39.3, 'heatindex_c': 4.4, 'heatindex_f': 39.9, 'dewpoint_c': 4.0, 'dewpoint_f': 39.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 0.0, 'vis_miles': 0.0, 'gust_mph': 4.3, 'gust_kph': 6.9, 'uv': 0.1}
