Hour data: {'time_epoch': 1737324000, 'time': '2025-01-20 00:00', 'temp_c': 1.7, 'temp_f': 35.1, 'is_day': 0, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}, 'wind_mph': 5.4, 'wind_kph': 8.6, 'wind_degree': 282, 'wind_dir': 'WNW', 'pressure_mb': 1022.0, 'pressure_in': 30.19, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 95, 'cloud': 56, 'feelslike_c': -0.9, 'feelslike_f': 30.3, 'windchill_c': -0.9, 'windchill_f': 30.3, 'heatindex_c': 1.7, 'heatindex_f': 35.1, 'dewpoint_c': 1.1, 'dewpoint_f': 33.9, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 9.3, 'gust_kph': 15.0, 'uv': 0}
Hour data: {'time_epoch': 1737327600, 'time': '2025-01-20 01:00', 'temp_c': 1.6, 'temp_f': 34.9, 'is_day': 0, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}, 'wind_mph': 5.1, 'wind_kph': 8.3, 'wind_degree': 289, 'wind_dir': 'WNW', 'pressure_mb': 1022.0, 'pressure_in': 30.19, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 95, 'cloud': 58, 'feelslike_c': -0.9, 'feelslike_f': 30.3, 'windchill_c': -0.9, 'windchill_f': 30.3, 'heatindex_c': 1.6, 'heatindex_f': 34.9, 'dewpoint_c': 1.0, 'dewpoint_f': 33.7, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 8.9, 'gust_kph': 14.4, 'uv': 0}
Hour data: {'time_epoch': 1737331200, 'time': '2025-01-20 02:00', 'temp_c': 1.8, 'temp_f': 35.2, 'is_day': 0, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}, 'wind_mph': 4.9, 'wind_kph': 7.9, 'wind_degree': 300, 'wind_dir': 'WNW', 'pressure_mb': 1023.0, 'pressure_in': 30.2, 'precip_mm': 0.01, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 94, 'cloud': 58, 'feelslike_c': -0.6, 'feelslike_f': 30.9, 'windchill_c': -0.6, 'windchill_f': 30.9, 'heatindex_c': 1.8, 'heatindex_f': 35.2, 'dewpoint_c': 1.0, 'dewpoint_f': 33.7, 'will_it_rain': 0, 'chance_of_rain': 65, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 8.3, 'gust_kph': 13.4, 'uv': 0}
Hour data: {'time_epoch': 1737334800, 'time': '2025-01-20 03:00', 'temp_c': 2.0, 'temp_f': 35.7, 'is_day': 0, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}, 'wind_mph': 4.0, 'wind_kph': 6.5, 'wind_degree': 298, 'wind_dir': 'WNW', 'pressure_mb': 1022.0, 'pressure_in': 30.19, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 94, 'cloud': 55, 'feelslike_c': 0.2, 'feelslike_f': 32.3, 'windchill_c': 0.2, 'windchill_f': 32.3, 'heatindex_c': 2.1, 'heatindex_f': 35.7, 'dewpoint_c': 1.2, 'dewpoint_f': 34.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 6.6, 'gust_kph': 10.7, 'uv': 0}
Hour data: {'time_epoch': 1737338400, 'time': '2025-01-20 04:00', 'temp_c': 2.3, 'temp_f': 36.1, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 297, 'wind_dir': 'WNW', 'pressure_mb': 1022.0, 'pressure_in': 30.19, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 93, 'cloud': 43, 'feelslike_c': 0.5, 'feelslike_f': 32.9, 'windchill_c': 0.5, 'windchill_f': 32.9, 'heatindex_c': 2.3, 'heatindex_f': 36.1, 'dewpoint_c': 1.3, 'dewpoint_f': 34.3, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 6.2, 'gust_kph': 10.0, 'uv': 0}
Hour data: {'time_epoch': 1737342000, 'time': '2025-01-20 05:00', 'temp_c': 2.4, 'temp_f': 36.4, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 311, 'wind_dir': 'NW', 'pressure_mb': 1022.0, 'pressure_in': 30.19, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 91, 'cloud': 36, 'feelslike_c': 0.7, 'feelslike_f': 33.3, 'windchill_c': 0.7, 'windchill_f': 33.3, 'heatindex_c': 2.4, 'heatindex_f': 36.4, 'dewpoint_c': 1.2, 'dewpoint_f': 34.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 6.2, 'gust_kph': 9.9, 'uv': 0}
Hour data: {'time_epoch': 1737345600, 'time': '2025-01-20 06:00', 'temp_c': 2.5, 'temp_f': 36.6, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 3.6, 'wind_kph': 5.8, 'wind_degree': 324, 'wind_dir': 'NW', 'pressure_mb': 1023.0, 'pressure_in': 30.21, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 91, 'cloud': 32, 'feelslike_c': 1.0, 'feelslike_f': 33.7, 'windchill_c': 1.0, 'windchill_f': 33.7, 'heatindex_c': 2.5, 'heatindex_f': 36.6, 'dewpoint_c': 1.2, 'dewpoint_f': 34.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 5.8, 'gust_kph': 9.4, 'uv': 0}
Hour data: {'time_epoch': 1737349200, 'time': '2025-01-20 07:00', 'temp_c': 2.4, 'temp_f': 36.4, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 2.2, 'wind_kph': 3.6, 'wind_degree': 302, 'wind_dir': 'WNW', 'pressure_mb': 1023.0, 'pressure_in': 30.21, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 92, 'cloud': 34, 'feelslike_c': 1.9, 'feelslike_f': 35.4, 'windchill_c': 1.9, 'windchill_f': 35.4, 'heatindex_c': 2.5, 'heatindex_f': 36.4, 'dewpoint_c': 1.3, 'dewpoint_f': 34.3, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 3.7, 'gust_kph': 6.0, 'uv': 0}
Hour data: {'time_epoch': 1737352800, 'time': '2025-01-20 08:00', 'temp_c': 1.9, 'temp_f': 35.5, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 2.0, 'wind_kph': 3.2, 'wind_degree': 272, 'wind_dir': 'W', 'pressure_mb': 1023.0, 'pressure_in': 30.22, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 94, 'cloud': 41, 'feelslike_c': 1.5, 'feelslike_f': 34.7, 'windchill_c': 1.5, 'windchill_f': 34.7, 'heatindex_c': 1.9, 'heatindex_f': 35.5, 'dewpoint_c': 1.1, 'dewpoint_f': 33.9, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 3.6, 'gust_kph': 5.7, 'uv': 0}
Hour data: {'time_epoch': 1737356400, 'time': '2025-01-20 09:00', 'temp_c': 3.2, 'temp_f': 37.8, 'is_day': 1, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}, 'wind_mph': 2.2, 'wind_kph': 3.6, 'wind_degree': 247, 'wind_dir': 'WSW', 'pressure_mb': 1024.0, 'pressure_in': 30.24, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': 1.6, 'feelslike_f': 35.0, 'windchill_c': 1.6, 'windchill_f': 35.0, 'heatindex_c': 1.6, 'heatindex_f': 35.0, 'dewpoint_c': 0.9, 'dewpoint_f': 33.6, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 3.2, 'gust_kph': 5.2, 'uv': 0.0}
Hour data: {'time_epoch': 1737360000, 'time': '2025-01-20 10:00', 'temp_c': 1.8, 'temp_f': 35.3, 'is_day': 1, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/day/143.png', 'code': 1030}, 'wind_mph': 2.2, 'wind_kph': 3.6, 'wind_degree': 222, 'wind_dir': 'SW', 'pressure_mb': 1024.0, 'pressure_in': 30.24, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 95, 'cloud': 52, 'feelslike_c': 1.2, 'feelslike_f': 34.1, 'windchill_c': 1.2, 'windchill_f': 34.1, 'heatindex_c': 1.8, 'heatindex_f': 35.3, 'dewpoint_c': 1.1, 'dewpoint_f': 34.0, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 3.8, 'gust_kph': 6.2, 'uv': 0.2}
