Hour data: {'time_epoch': 1737327600, 'time': '2025-01-20 00:00', 'temp_c': -1.2, 'temp_f': 29.9, 'is_day': 0, 'condition': {'text': 'Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/119.png', 'code': 1006}, 'wind_mph': 2.9, 'wind_kph': 4.7, 'wind_degree': 297, 'wind_dir': 'WNW', 'pressure_mb': 1021.0, 'pressure_in': 30.16, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 94, 'cloud': 69, 'feelslike_c': -2.8, 'feelslike_f': 27.0, 'windchill_c': -2.8, 'windchill_f': 27.0, 'heatindex_c': -1.2, 'heatindex_f': 29.9, 'dewpoint_c': -2.0, 'dewpoint_f': 28.3, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.5, 'gust_kph': 7.2, 'uv': 0}
Hour data: {'time_epoch': 1737331200, 'time': '2025-01-20 01:00', 'temp_c': -1.1, 'temp_f': 30.0, 'is_day': 0, 'condition': {'text': 'Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/119.png', 'code': 1006}, 'wind_mph': 2.7, 'wind_kph': 4.3, 'wind_degree': 287, 'wind_dir': 'WNW', 'pressure_mb': 1021.0, 'pressure_in': 30.15, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 94, 'cloud': 71, 'feelslike_c': -2.5, 'feelslike_f': 27.5, 'windchill_c': -2.5, 'windchill_f': 27.5, 'heatindex_c': -1.1, 'heatindex_f': 30.0, 'dewpoint_c': -2.0, 'dewpoint_f': 28.3, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.1, 'gust_kph': 6.6, 'uv': 0}
Hour data: {'time_epoch': 1737334800, 'time': '2025-01-20 02:00', 'temp_c': -1.1, 'temp_f': 30.1, 'is_day': 0, 'condition': {'text': 'Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/119.png', 'code': 1006}, 'wind_mph': 2.2, 'wind_kph': 3.6, 'wind_degree': 289, 'wind_dir': 'WNW', 'pressure_mb': 1021.0, 'pressure_in': 30.14, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 93, 'cloud': 72, 'feelslike_c': -2.0, 'feelslike_f': 28.4, 'windchill_c': -2.0, 'windchill_f': 28.4, 'heatindex_c': -1.1, 'heatindex_f': 30.1, 'dewpoint_c': -2.1, 'dewpoint_f': 28.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 3.3, 'gust_kph': 5.4, 'uv': 0}
Hour data: {'time_epoch': 1737338400, 'time': '2025-01-20 03:00', 'temp_c': -1.0, 'temp_f': 30.1, 'is_day': 0, 'condition': {'text': 'Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/119.png', 'code': 1006}, 'wind_mph': 2.7, 'wind_kph': 4.3, 'wind_degree': 285, 'wind_dir': 'WNW', 'pressure_mb': 1021.0, 'pressure_in': 30.14, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 92, 'cloud': 79, 'feelslike_c': -2.4, 'feelslike_f': 27.7, 'windchill_c': -2.4, 'windchill_f': 27.7, 'heatindex_c': -1.0, 'heatindex_f': 30.1, 'dewpoint_c': -2.1, 'dewpoint_f': 28.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.0, 'gust_kph': 6.4, 'uv': 0}
Hour data: {'time_epoch': 1737342000, 'time': '2025-01-20 04:00', 'temp_c': -1.1, 'temp_f': 30.1, 'is_day': 0, 'condition': {'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 3.1, 'wind_kph': 5.0, 'wind_degree': 282, 'wind_dir': 'WNW', 'pressure_mb': 1020.0, 'pressure_in': 30.13, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 92, 'cloud': 98, 'feelslike_c': -2.8, 'feelslike_f': 27.0, 'windchill_c': -2.8, 'windchill_f': 27.0, 'heatindex_c': -1.1, 'heatindex_f': 30.1, 'dewpoint_c': -2.2, 'dewpoint_f': 28.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.6, 'gust_kph': 7.5, 'uv': 0}
Hour data: {'time_epoch': 1737345600, 'time': '2025-01-20 05:00', 'temp_c': -1.0, 'temp_f': 30.2, 'is_day': 0, 'condition': {'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 3.1, 'wind_kph': 5.0, 'wind_degree': 279, 'wind_dir': 'W', 'pressure_mb': 1020.0, 'pressure_in': 30.13, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 91, 'cloud': 94, 'feelslike_c': -2.7, 'feelslike_f': 27.1, 'windchill_c': -2.7, 'windchill_f': 27.1, 'heatindex_c': -1.0, 'heatindex_f': 30.2, 'dewpoint_c': -2.2, 'dewpoint_f': 28.0, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.6, 'gust_kph': 7.4, 'uv': 0}
Hour data: {'time_epoch': 1737349200, 'time': '2025-01-20 06:00', 'temp_c': -0.9, 'temp_f': 30.4, 'is_day': 0, 'condition': {'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 2.5, 'wind_kph': 4.0, 'wind_degree': 290, 'wind_dir': 'WNW', 'pressure_mb': 1020.0, 'pressure_in': 30.13, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 91, 'cloud': 92, 'feelslike_c': -2.0, 'feelslike_f': 28.3, 'windchill_c': -2.0, 'windchill_f': 28.3, 'heatindex_c': -0.9, 'heatindex_f': 30.4, 'dewpoint_c': -2.2, 'dewpoint_f': 28.0, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 3.6, 'gust_kph': 5.8, 'uv': 0}
Hour data: {'time_epoch': 1737352800, 'time': '2025-01-20 07:00', 'temp_c': -0.8, 'temp_f': 30.6, 'is_day': 0, 'condition': {'text': 'Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/119.png', 'code': 1006}, 'wind_mph': 2.5, 'wind_kph': 4.0, 'wind_degree': 281, 'wind_dir': 'WNW', 'pressure_mb': 1020.0, 'pressure_in': 30.13, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 90, 'cloud': 86, 'feelslike_c': -1.9, 'feelslike_f': 28.6, 'windchill_c': -1.9, 'windchill_f': 28.6, 'heatindex_c': -0.8, 'heatindex_f': 30.6, 'dewpoint_c': -2.2, 'dewpoint_f': 28.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 3.6, 'gust_kph': 5.7, 'uv': 0}
Hour data: {'time_epoch': 1737356400, 'time': '2025-01-20 08:00', 'temp_c': -1.8, 'temp_f': 28.8, 'is_day': 0, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}, 'wind_mph': 3.4, 'wind_kph': 5.4, 'wind_degree': 277, 'wind_dir': 'W', 'pressure_mb': 1020.0, 'pressure_in': 30.12, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 100, 'cloud': 75, 'feelslike_c': -2.4, 'feelslike_f': 27.6, 'windchill_c': -2.4, 'windchill_f': 27.6, 'heatindex_c': -0.6, 'heatindex_f': 31.0, 'dewpoint_c': -2.2, 'dewpoint_f': 28.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 3.2, 'vis_miles': 1.0, 'gust_mph': 4.8, 'gust_kph': 7.7, 'uv': 0}
Hour data: {'time_epoch': 1737360000, 'time': '2025-01-20 09:00', 'temp_c': -0.5, 'temp_f': 31.1, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 2.2, 'wind_kph': 3.6, 'wind_degree': 257, 'wind_dir': 'WSW', 'pressure_mb': 1021.0, 'pressure_in': 30.14, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 89, 'cloud': 52, 'feelslike_c': -1.4, 'feelslike_f': 29.5, 'windchill_c': -1.4, 'windchill_f': 29.5, 'heatindex_c': -0.5, 'heatindex_f': 31.1, 'dewpoint_c': -2.2, 'dewpoint_f': 28.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 3.2, 'gust_kph': 5.2, 'uv': 0.0}
Hour data: {'time_epoch': 1737363600, 'time': '2025-01-20 10:00', 'temp_c': 0.0, 'temp_f': 32.0, 'is_day': 1, 'condition': {'text': 'Light freezing rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/311.png', 'code': 1198}, 'wind_mph': 1.6, 'wind_kph': 2.5, 'wind_degree': 267, 'wind_dir': 'W', 'pressure_mb': 1021.0, 'pressure_in': 30.14, 'precip_mm': 0.01, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 86, 'cloud': 79, 'feelslike_c': 0.0, 'feelslike_f': 32.0, 'windchill_c': 0.0, 'windchill_f': 32.0, 'heatindex_c': 0.0, 'heatindex_f': 32.0, 'dewpoint_c': -2.1, 'dewpoint_f': 28.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 60, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 2.2, 'gust_kph': 3.5, 'uv': 0.3}
