Hour data: {'time_epoch': 1734303600, 'time': '2024-12-16 00:00', 'temp_c': 9.7, 'temp_f': 49.5, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 15.4, 'wind_kph': 24.8, 'wind_degree': 241, 'wind_dir': 'WSW', 'pressure_mb': 1028.0, 'pressure_in': 30.37, 'precip_mm': 0.05, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 95, 'cloud': 100, 'feelslike_c': 6.6, 'feelslike_f': 43.8, 'windchill_c': 6.6, 'windchill_f': 43.8, 'heatindex_c': 9.7, 'heatindex_f': 49.5, 'dewpoint_c': 9.0, 'dewpoint_f': 48.2, 'will_it_rain': 1, 'chance_of_rain': 88, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 24.2, 'gust_kph': 39.0, 'uv': 0}
Hour data: {'time_epoch': 1734307200, 'time': '2024-12-16 01:00', 'temp_c': 10.1, 'temp_f': 50.2, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 15.4, 'wind_kph': 24.8, 'wind_degree': 247, 'wind_dir': 'WSW', 'pressure_mb': 1028.0, 'pressure_in': 30.37, 'precip_mm': 0.08, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 92, 'cloud': 100, 'feelslike_c': 7.1, 'feelslike_f': 44.8, 'windchill_c': 7.1, 'windchill_f': 44.8, 'heatindex_c': 10.1, 'heatindex_f': 50.3, 'dewpoint_c': 8.9, 'dewpoint_f': 48.0, 'will_it_rain': 1, 'chance_of_rain': 100, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 24.2, 'gust_kph': 39.0, 'uv': 0}
Hour data: {'time_epoch': 1734310800, 'time': '2024-12-16 02:00', 'temp_c': 10.4, 'temp_f': 50.7, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 16.1, 'wind_kph': 25.9, 'wind_degree': 249, 'wind_dir': 'WSW', 'pressure_mb': 1028.0, 'pressure_in': 30.37, 'precip_mm': 0.07, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 90, 'cloud': 100, 'feelslike_c': 7.3, 'feelslike_f': 45.2, 'windchill_c': 7.3, 'windchill_f': 45.2, 'heatindex_c': 10.4, 'heatindex_f': 50.7, 'dewpoint_c': 8.8, 'dewpoint_f': 47.9, 'will_it_rain': 1, 'chance_of_rain': 100, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 25.2, 'gust_kph': 40.5, 'uv': 0}
Hour data: {'time_epoch': 1734314400, 'time': '2024-12-16 03:00', 'temp_c': 10.5, 'temp_f': 50.9, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 15.9, 'wind_kph': 25.6, 'wind_degree': 249, 'wind_dir': 'WSW', 'pressure_mb': 1029.0, 'pressure_in': 30.38, 'precip_mm': 0.01, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 90, 'cloud': 100, 'feelslike_c': 7.5, 'feelslike_f': 45.6, 'windchill_c': 7.5, 'windchill_f': 45.6, 'heatindex_c': 10.5, 'heatindex_f': 50.9, 'dewpoint_c': 8.9, 'dewpoint_f': 48.0, 'will_it_rain': 1, 'chance_of_rain': 85, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 24.7, 'gust_kph': 39.8, 'uv': 0}
Hour data: {'time_epoch': 1734318000, 'time': '2024-12-16 04:00', 'temp_c': 10.6, 'temp_f': 51.1, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 15.9, 'wind_kph': 25.6, 'wind_degree': 253, 'wind_dir': 'WSW', 'pressure_mb': 1029.0, 'pressure_in': 30.38, 'precip_mm': 0.1, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 88, 'cloud': 100, 'feelslike_c': 7.7, 'feelslike_f': 45.8, 'windchill_c': 7.7, 'windchill_f': 45.8, 'heatindex_c': 10.6, 'heatindex_f': 51.1, 'dewpoint_c': 8.8, 'dewpoint_f': 47.8, 'will_it_rain': 1, 'chance_of_rain': 100, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 24.7, 'gust_kph': 39.8, 'uv': 0}
Hour data: {'time_epoch': 1734321600, 'time': '2024-12-16 05:00', 'temp_c': 10.5, 'temp_f': 50.8, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 15.4, 'wind_kph': 24.8, 'wind_degree': 253, 'wind_dir': 'WSW', 'pressure_mb': 1029.0, 'pressure_in': 30.39, 'precip_mm': 0.03, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 87, 'cloud': 100, 'feelslike_c': 7.6, 'feelslike_f': 45.6, 'windchill_c': 7.6, 'windchill_f': 45.6, 'heatindex_c': 10.5, 'heatindex_f': 50.8, 'dewpoint_c': 8.4, 'dewpoint_f': 47.1, 'will_it_rain': 1, 'chance_of_rain': 73, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 23.8, 'gust_kph': 38.3, 'uv': 0}
Hour data: {'time_epoch': 1734325200, 'time': '2024-12-16 06:00', 'temp_c': 10.3, 'temp_f': 50.6, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 15.4, 'wind_kph': 24.8, 'wind_degree': 253, 'wind_dir': 'WSW', 'pressure_mb': 1029.0, 'pressure_in': 30.39, 'precip_mm': 0.02, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 86, 'cloud': 100, 'feelslike_c': 7.4, 'feelslike_f': 45.3, 'windchill_c': 7.4, 'windchill_f': 45.3, 'heatindex_c': 10.3, 'heatindex_f': 50.6, 'dewpoint_c': 8.1, 'dewpoint_f': 46.6, 'will_it_rain': 0, 'chance_of_rain': 61, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 23.7, 'gust_kph': 38.2, 'uv': 0}
Hour data: {'time_epoch': 1734328800, 'time': '2024-12-16 07:00', 'temp_c': 10.1, 'temp_f': 50.3, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 15.4, 'wind_kph': 24.8, 'wind_degree': 255, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.41, 'precip_mm': 0.11, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 86, 'cloud': 100, 'feelslike_c': 7.1, 'feelslike_f': 44.9, 'windchill_c': 7.1, 'windchill_f': 44.9, 'heatindex_c': 10.1, 'heatindex_f': 50.3, 'dewpoint_c': 7.9, 'dewpoint_f': 46.1, 'will_it_rain': 1, 'chance_of_rain': 100, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 23.5, 'gust_kph': 37.9, 'uv': 0}
Hour data: {'time_epoch': 1734332400, 'time': '2024-12-16 08:00', 'temp_c': 10.0, 'temp_f': 50.0, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 14.8, 'wind_kph': 23.8, 'wind_degree': 253, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.42, 'precip_mm': 0.09, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 85, 'cloud': 100, 'feelslike_c': 7.0, 'feelslike_f': 44.7, 'windchill_c': 7.0, 'windchill_f': 44.7, 'heatindex_c': 10.0, 'heatindex_f': 50.0, 'dewpoint_c': 7.7, 'dewpoint_f': 45.8, 'will_it_rain': 1, 'chance_of_rain': 100, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 22.6, 'gust_kph': 36.4, 'uv': 0}
Hour data: {'time_epoch': 1734336000, 'time': '2024-12-16 09:00', 'temp_c': 10.2, 'temp_f': 50.4, 'is_day': 1, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'wind_mph': 14.8, 'wind_kph': 23.8, 'wind_degree': 254, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.43, 'precip_mm': 0.02, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 82, 'cloud': 90, 'feelslike_c': 7.3, 'feelslike_f': 45.1, 'windchill_c': 7.3, 'windchill_f': 45.1, 'heatindex_c': 10.2, 'heatindex_f': 50.4, 'dewpoint_c': 7.4, 'dewpoint_f': 45.2, 'will_it_rain': 0, 'chance_of_rain': 63, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 22.9, 'gust_kph': 36.8, 'uv': 0.0}
Hour data: {'time_epoch': 1734339600, 'time': '2024-12-16 10:00', 'temp_c': 10.2, 'temp_f': 50.3, 'is_day': 1, 'condition': {'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}, 'wind_mph': 16.1, 'wind_kph': 25.9, 'wind_degree': 253, 'wind_dir': 'WSW', 'pressure_mb': 1031.0, 'pressure_in': 30.44, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 85, 'cloud': 90, 'feelslike_c': 7.1, 'feelslike_f': 44.7, 'windchill_c': 7.1, 'windchill_f': 44.7, 'heatindex_c': 10.2, 'heatindex_f': 50.3, 'dewpoint_c': 7.7, 'dewpoint_f': 45.9, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 24.2, 'gust_kph': 39.0, 'uv': 0.1}
